PMID,Original_Title,Generated_Title
34902587,Detection of porcine circovirus type 3 DNA in serum and semen samples of boars from a German boar stud.,Detection of porcine circovirus type 3 DNA in boar semen from a German stud supplying semen for artificial insemination.
35451025,Imputation of non-genotyped F1 dams to improve genetic gain in swine crossbreeding programs.,Comparison of imputed genotypes from non-genotyped swine.
34859764,Proposed multidimensional pain outcome methodology to demonstrate analgesic drug  efficacy and facilitate future drug approval for piglet castration.,Validation of a validated multimodal method for quantification of pain in piglets following surgical castration.
35143972,Nanostructured lipid carriers loaded with an association of minoxidil and latanoprost for targeted topical therapy of alopecia.,Construction of nanostructured lipid carriers for hair follicle-targeted delivery of minoxidil and latanoprost.
34872491,Genome-wide expression of the residual lung reacting to experimental Pneumonectomy.,Transcriptome analysis of left pneumonectomy in swine model.
35268189,Molecular Detection and Genetic Characterization of Porcine Circovirus 2 (PCV-2)  in Black-Backed Jackal (Lupulella mesomelas) in Namibia.,Porcine circovirus 2 (PCV-2) in black-backed jackals (Lupulella mesomelas).
35179407,Alpha-Crystallin Association with the Model of Human and Animal Eye Lens-Lipid Membranes is Modulated by Surface Hydrophobicity of Membranes.,Interaction of α-crystallin with model lens-lipid membranes.
35049772,Genes Related to Fat Metabolism in Pigs and Intramuscular Fat Content of Pork: A  Focus on Nutrigenetics and Nutrigenomics.,"Nutrigenetics, nutrigensomics and epigenetic mechanisms controlling fat metabolism and intramuscular fat deposition in pigs."
34977209,Development of an Online Tool for Pasteurella multocida Genotyping and Genotypes  of Pasteurella multocida From Different Hosts.,PmGT: a rapid and efficient genotyping system for Pasteurella multocida.
35336958,Antibody Evaluation and Mutations of Antigenic Epitopes in the Spike Protein of the Porcine Epidemic Diarrhea Virus from Pig Farms with Repeated Intentional Exposure (Feedback).,Porcine Epidemic Diarrhea Virus (PEDV) Is Not Associated with Increased Infection in Pigs.
35123306,Influence of the farrowing process and different sow and piglet traits on uterine involution in a free farrowing system.,The influence of the farrowing process and sow and piglet traits on the uterine involution in a free-rowing system in Large White x Landrace.
34996026,"Review: Concrete outdoor runs for organic growing-finishing pigs - a legislative, ethological and environmental perspective.",Concrete Outdoor Runs for Organic Growing-Finishing Pigs: A Review.
35208756,Dual Antimicrobial Effect of Medium-Chain Fatty Acids against an Italian Multidrug Resistant Brachyspira hyodysenteriae Strain.,Sub-inhibitory effects of medium-chain fatty acids against a field strain of Brachyspira hyodysenteriae and ATCC 27164.
35443903,Comparison of three antioxidants in chemical and biological assays on porcine oocytes during ageing in vitro.,Effect of β-Cryptoxanthin on In Vitro Maturation of Porcine Oocytes and Embryos.
35249475,Effect of feeding regimen on circadian activity rhythms of food anticipatory by ghrelin hormone in a pig model., irregular eating patterns affect circadian entrainment and circadian rhythm pathways in hypothalamus tissue.
35059141,Detecting the differential genomic variants using cross-population phenotype-associated variant (XP-PAV) of the Landrace and Yorkshire pigs in Korea.,Cross-population phenotype associated variant analysis reveals differential selection between Landrace and Yorkshire pigs.
35205304,"MiR-218-5p Affects Subcutaneous Adipogenesis by Targeting ACSL1, a Novel Candidate for Pig Fat Deposition.",Effect of miR-218-5p/ACSL1 axis on porcine preadipocyte differentiation.
35189068,Cloning of FITM2 gene and investigating its expression levels in Banna miniature  inbred pig (Sus scrofa) tissues.,Mutation of FITM2 gene to Banna miniature inbred pigs and other species.
34868241,Trait-specific Selection Signature Detection Reveals Novel Loci of Meat Quality in Large White Pigs.,Identification of Selection Signatures for Meat Quality Traits in Pigs Revealed by Genomic Sequencing.
34901898,Interaction of Klebsiella pneumoniae with tissue macrophages in a mouse infection model and ex-vivo pig organ perfusions: an exploratory investigation.,Within-macrophage replication in hypervirulent Klebsiella pneumoniae strains of capsule type K1 and K2.
35434674,Cortical bone trajectory fixation cause low compression force in anterior vertebral column.,Intraoperatively measured the insertional torque of the long cortical bone trajectory screws.
34850103,Bringing the Animal QTLdb and CorrDB into the future: meeting new challenges and  providing updated services.,Animal QTLdb and CorrDB: a comprehensive database for livestock animal genetics and genomics research.
35180661,A biosecurity survey on Iberian pig farms in Spain: Farmers' attitudes towards the implementation of measures and investment.,Iberian pig farmers in the South-West of Spain: attitudes towards biosecurity measures.
35341848,"Exposure to industrial hog operations and gastrointestinal illness in North Carolina, USA.",Risk factors associated with acute gastrointestinal illness in North Carolina hogs housed at concentrated animal feeding operations.
35411431,Effects of MitraClip Therapy on Mitral Flow Patterns and Vortex Formation: An In  Vitro Study.,MitraClip transcatheter edge-to-edge repair for mitral regurgitation.
35215890,Effects of the NF-κB Signaling Pathway Inhibitor BAY11-7082 in the Replication of ASFV.,African swine fever virus infection activates the NF-κB signaling pathway and up-regulates the expression of interleukin-1 beta and I-8 and inhibits the replication of porcine alveolar macrophages.
34974356,From Mendel laws to whole genetic association study to decipher the swine mulefoot phenotype.,Identification of the Von Willebrand Factor C Domain (VWC2L) as a candidate gene for the swine mulefoot phenotype.
35089527,Clinically relevant experimental rodent models of diabetic foot ulcer.,Animal models of wound healing in diabetic foot ulcer.
35303917,Comparative analysis of Streptococcus suis genomes identifies novel candidate virulence-associated genes in North American isolates.,Identification of virulence-associated genes in Streptococcus suis isolates from North America by pan-genome analysis.
34985359,Is Porcine Small Intestinal Submucosal Extracellular Matrix (ECM) a Suitable Material for Right Ventricular Outflow Tract Reconstruction in Association With Pulmonary Valve Replacement?,Porcine submucosal intestinal-derived extracellular matrix dehiscence in pulmonary valve replacement with right ventricular outflow tract.
35178067,Identification of Potential Candidate Genes From Co-Expression Module Analysis During Preadipocyte Differentiation in Landrace Pig.,Differential expression of angiopoietin-like 4 during preadipocyte differentiation in Landrace pigs.
35203165,Evaluation of Stress Accompanying Immunocontraceptive Vaccination in Donkeys.,Evaluation of acute and chronic stress induced by two zona pellucida vaccines formulated with a Freund's adjuvant.
35205240,Investigation of the Genetic Architecture of Pigs Subjected to Breeding Intensification.,Transcriptomic analysis of HBD in Large White pigs grown on the same farm but in different years.
35034121,Identify known and novel candidate genes associated with backfat thickness in Duroc pigs by large-scale genome-wide association analysis.,Genome-Wide Association Analysis Reveals Candidate Genes Associated with Backfat Thickness in Pigs.
34960607,Gammaherpesvirus Infections in Cattle in Europe.,"Bovine herpesvirus 6 (BoHV-6) and gammaherpesviruses of other ruminants in Switzerland, Belgium, Germany."
35257788,Microbiome biomarkers associated with the gut contraction response elicited by the Japanese traditional medicine daikenchuto.,Quantification of objective biomarkers for colon contraction intensity in Japanese traditional medicine.
35100362,Genome-wide association study of disease resilience traits from a natural polymicrobial disease challenge model in pigs identifies the importance of the major histocompatibility complex region.,Genome-wide association studies and gene set enrichment analyses identify quantitative trait loci for disease resilience in pigs.
