PMID,Original_Title,Rule_Based_Title,BART_Title,Hybrid_Title,BLEU_Score
34902587,Detection of porcine circovirus type 3 DNA in serum and semen samples of boars from a German boar stud.,Detection of  in boar,Detection of porcine circovirus type 3 DNA in boar semen from a German stud supplying semen for artificial insemination.,Detection of porcine circovirus type 3 DNA in boar semen from a German stud supplying semen for artificial insemination.,0.4580519369844352
35451025,Imputation of non-genotyped F1 dams to improve genetic gain in swine crossbreeding programs.,Study of  in swine,Comparison of imputed genotypes from non-genotyped swine.,Comparison of imputed genotypes from non-genotyped swine.,0.01666998712262484
34859764,Proposed multidimensional pain outcome methodology to demonstrate analgesic drug  efficacy and facilitate future drug approval for piglet castration.,Evaluation of  in animal,Validation of a validated multimodal method for quantification of pain in piglets following surgical castration.,Validation of a validated multimodal method for quantification of pain in piglets following surgical castration.,0.014242474285751547
35143972,Nanostructured lipid carriers loaded with an association of minoxidil and latanoprost for targeted topical therapy of alopecia., and its association with marker,Construction of nanostructured lipid carriers for hair follicle-targeted delivery of minoxidil and latanoprost.,Construction of nanostructured lipid carriers for hair follicle-targeted delivery of minoxidil and latanoprost.,0.10216134483251435
34872491,Genome-wide expression of the residual lung reacting to experimental Pneumonectomy.,Assessment of  in animal,Transcriptome analysis of left pneumonectomy in swine model.,Transcriptome analysis of left pneumonectomy in swine model.,0.02163211878762423
35268189,Molecular Detection and Genetic Characterization of Porcine Circovirus 2 (PCV-2)  in Black-Backed Jackal (Lupulella mesomelas) in Namibia.,Analysis of  in porcine,Porcine circovirus 2 (PCV-2) in black-backed jackals (Lupulella mesomelas).,Porcine circovirus 2 (PCV-2) in black-backed jackals (Lupulella mesomelas).,0.2509731932400272
35179407,Alpha-Crystallin Association with the Model of Human and Animal Eye Lens-Lipid Membranes is Modulated by Surface Hydrophobicity of Membranes.,Method of  in porcine,Interaction of α-crystallin with model lens-lipid membranes.,Interaction of α-crystallin with model lens-lipid membranes.,0.008895448577107888
35049772,Genes Related to Fat Metabolism in Pigs and Intramuscular Fat Content of Pork: A  Focus on Nutrigenetics and Nutrigenomics., and its association with trait,"Nutrigenetics, nutrigensomics and epigenetic mechanisms controlling fat metabolism and intramuscular fat deposition in pigs.","Nutrigenetics, nutrigenomics and epigenetic mechanisms controlling fat metabolism and intramuscular fat deposition in pigs.",0.06765319660492904
34977209,Development of an Online Tool for Pasteurella multocida Genotyping and Genotypes  of Pasteurella multocida From Different Hosts., and its association with genotype,PmGT: a rapid and efficient genotyping system for Pasteurella multocida.,PmGT: a rapid and efficient genotyping system for Pasteurella multocida.,0.026357318609093718
35336958,Antibody Evaluation and Mutations of Antigenic Epitopes in the Spike Protein of the Porcine Epidemic Diarrhea Virus from Pig Farms with Repeated Intentional Exposure (Feedback).,Method of  in pig,Porcine Epidemic Diarrhea Virus (PEDV) Is Not Associated with Increased Infection in Pigs.,Porcine Epidemic Diarrhea Virus (PEDV) Is Not Associated with Increased Infection in Pigs.,0.08502743739266155
35123306,Influence of the farrowing process and different sow and piglet traits on uterine involution in a free farrowing system.,Study of  in piglet,The influence of the farrowing process and sow and piglet traits on the uterine involution in a free-rowing system in Large White x Landrace.,The influence of the farrowing process and sow and piglet traits on the uterine involution in a free farrowing system.,0.7076534431960262
34996026,"Review: Concrete outdoor runs for organic growing-finishing pigs - a legislative, ethological and environmental perspective.",Concrete Outdoor Runs (OUTRUNs) are a characteristic part of organic,Concrete Outdoor Runs for Organic Growing-Finishing Pigs: A Review.,Concrete Outdoor Runs for Organic Growing-Finishing Pigs: A Review.,0.3134275885275486
35208756,Dual Antimicrobial Effect of Medium-Chain Fatty Acids against an Italian Multidrug Resistant Brachyspira hyodysenteriae Strain., and its association with gene,Sub-inhibitory effects of medium-chain fatty acids against a field strain of Brachyspira hyodysenteriae and ATCC 27164.,Sub-inhibitory effects of medium-chain fatty acids against a field strain of Brachyspira hyodysenteriae and ATCC 27164.,0.26332019392396333
