PMID,Original_Title,Generated_Title
34902587,Detection of porcine circovirus type 3 DNA in serum and semen samples of boars from a German boar stud.,Detection of  in boar
35451025,Imputation of non-genotyped F1 dams to improve genetic gain in swine crossbreeding programs.,Study of  in swine
34859764,Proposed multidimensional pain outcome methodology to demonstrate analgesic drug  efficacy and facilitate future drug approval for piglet castration.,Evaluation of  in animal
35143972,Nanostructured lipid carriers loaded with an association of minoxidil and latanoprost for targeted topical therapy of alopecia., and its association with marker
34872491,Genome-wide expression of the residual lung reacting to experimental Pneumonectomy.,Assessment of  in animal
35268189,Molecular Detection and Genetic Characterization of Porcine Circovirus 2 (PCV-2)  in Black-Backed Jackal (Lupulella mesomelas) in Namibia.,Analysis of  in porcine
35179407,Alpha-Crystallin Association with the Model of Human and Animal Eye Lens-Lipid Membranes is Modulated by Surface Hydrophobicity of Membranes.,Method of  in porcine
35049772,Genes Related to Fat Metabolism in Pigs and Intramuscular Fat Content of Pork: A  Focus on Nutrigenetics and Nutrigenomics., and its association with trait
34977209,Development of an Online Tool for Pasteurella multocida Genotyping and Genotypes  of Pasteurella multocida From Different Hosts., and its association with genotype
35336958,Antibody Evaluation and Mutations of Antigenic Epitopes in the Spike Protein of the Porcine Epidemic Diarrhea Virus from Pig Farms with Repeated Intentional Exposure (Feedback).,Method of  in pig
35123306,Influence of the farrowing process and different sow and piglet traits on uterine involution in a free farrowing system.,Study of  in piglet
34996026,"Review: Concrete outdoor runs for organic growing-finishing pigs - a legislative, ethological and environmental perspective.",Concrete Outdoor Runs (OUTRUNs) are a characteristic part of organic
35208756,Dual Antimicrobial Effect of Medium-Chain Fatty Acids against an Italian Multidrug Resistant Brachyspira hyodysenteriae Strain., and its association with gene
35443903,Comparison of three antioxidants in chemical and biological assays on porcine oocytes during ageing in vitro.,Study of  in porcine
35249475,Effect of feeding regimen on circadian activity rhythms of food anticipatory by ghrelin hormone in a pig model.,Increasingly diverse meal patterns affect the internal body clock.
35059141,Detecting the differential genomic variants using cross-population phenotype-associated variant (XP-PAV) of the Landrace and Yorkshire pigs in Korea.,Method of  in pig
35205304,"MiR-218-5p Affects Subcutaneous Adipogenesis by Targeting ACSL1, a Novel Candidate for Pig Fat Deposition.",Study of  in porcine
35189068,Cloning of FITM2 gene and investigating its expression levels in Banna miniature  inbred pig (Sus scrofa) tissues., and its association with protein
34868241,Trait-specific Selection Signature Detection Reveals Novel Loci of Meat Quality in Large White Pigs., and its association with trait
34901898,Interaction of Klebsiella pneumoniae with tissue macrophages in a mouse infection model and ex-vivo pig organ perfusions: an exploratory investigation.,Study of  in pig
35434674,Cortical bone trajectory fixation cause low compression force in anterior vertebral column.,Study of  in pig
34850103,Bringing the Animal QTLdb and CorrDB into the future: meeting new challenges and  providing updated services.,Mapping of  in pig
35180661,A biosecurity survey on Iberian pig farms in Spain: Farmers' attitudes towards the implementation of measures and investment.,Analysis of  in pig
35341848,"Exposure to industrial hog operations and gastrointestinal illness in North Carolina, USA.","With 9 million hogs, North Carolina (NC) is the second"
35411431,Effects of MitraClip Therapy on Mitral Flow Patterns and Vortex Formation: An In  Vitro Study.,MitraClip transcatheter edge-to-edge repair is used to treat mitral regurgitation
35215890,Effects of the NF-κB Signaling Pathway Inhibitor BAY11-7082 in the Replication of ASFV.,Study of  in porcine
